Task Name,Assigned To,Epic,Stage,Workstream,Start Date,Due Date,Labels,Notes,Bucket,Progress,Priority,Description,Hours
Content Catalog Automation - Onsite Engagement: Prepwork,DeMar Jeffries,Content Catalog Automation,Onsite Engagement,Prepwork,1/12/2026,1/18/2026,Open; Week 0,,Prepwork,Not Started,Medium,Onsite engagement with site cataloging and automation,16.8
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,eric.riz@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Open; Week 1,,A-Content Governance/IA,Not Started,Medium,"Data & Content location & Inventory Discovery,  Document (Part 2)",4
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,joshua.christensen@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Open; Week 1,,A-Content Governance/IA,Not Started,Medium,"Data & Content location & Inventory Discovery,  Document (Part 1)",12
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,joshua.christensen@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Open; Week 1,,A-Content Governance/IA,Not Started,Medium,Interviews,4
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: All,eric.riz@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,All,1/19/2026,1/25/2026,Open; Week 1,,All,Not Started,Medium,SteerCo Selection and Format,2
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,eric.riz@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Principal; Open; Week 1,,A-Content Governance/IA,Not Started,Medium,Exec Interviews,4
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: B-AI Readiness & Use Case,joshua.christensen@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,B-AI Readiness & Use Case,1/19/2026,1/25/2026,Principal; Open; Week 1,,B-AI Readiness & Use Case,Not Started,Medium,Interviews,12
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,joshua.christensen@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Principal; Open; Week 1,,A-Content Governance/IA,Not Started,Medium,Deliverable Iteration,4
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,eric.riz@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Principal; Open; Week 1,,A-Content Governance/IA,Not Started,Medium,Deliverable Development,2
AI Pilot and Content Readiness - 1-Empathize -Discovery & Alignment: A-Content Governance/IA,eric.riz@synozur.com,AI Pilot and Content Readiness,1-Empathize -Discovery & Alignment,A-Content Governance/IA,1/19/2026,1/25/2026,Senior Architect; Open; Week 1,,A-Content Governance/IA,Not Started,Medium,Interviews,4
