Epic,Stage,Workstream,Week,Activity,Resource,Hours,Factor,Rate,Size,Complexity,Confidence,Comments
AI Pilot & Sandbox,0-Pre Kick-off Prep,,0,Project Initiation & Prep,,15,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,,1,Project Kick off Meeting,,3,3,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,"Content Inventory Discovery,  Document",,10,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,Deliverable Development: Read out from interviews,,4,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,Deliverable Iteration: Initial draft,,4,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,SteerCo Selection and Format,,2,1,200,small,simple,high,Assumes this is needed 
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,Interviews: 2 one hour interviews with key department leads,,2,1,200,small,simple,high,Develop use cases from interviews
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,Exec & Key Stakeholder Interviews,,2,1,200,small,simple,high,Adjust as needed per size of org
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,2,Workshops: Case studies & Success Metrics,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,2,Deliverable Development,,2,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Candidate Use Case Development,,5,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Development,,3,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Iteration,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Iteration,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Interviews,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Workshop: Persona & Audiences ,,3,3,200,small,simple,high,Pilot program dependency for pilot rollout planning
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Followup Discovery - Core Interview,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Assessment,,8,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Recommendations,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Selection,,2,1,200,small,simple,high,Pilot design dependent on tooling selection
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Data Governance Development,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,3,Use Case Development,,8,1,200,small,simple,high,Adjust as needed for estimated # of use cases
