Epic Name,Stage Name,Workstream,Week #,Description,Category,Resource,Base Hours,Factor,Rate,Size,Complexity,Confidence,Comments,Adjusted Hours
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,AI Specialist,8,1,200,Small,Small,High,Design GenAI prompts for exception classification; define confidence thresholds,4.36
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,AI Specialist,4,1,200,Small,Small,High,Test prompt variants; fine‑tune intents; integrate human‑in‑the‑loop for edge cases,4.36
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,AI Specialist,4,1,200,Small,Small,High,Calibrate precision/recall; document model use; productionize prompt library,5.81
1-Quick Wins,4-Foundations,Data Audit,6,Data audit and cleansing,Data Strategy,Developer Architect,30,1,190,Medium,Medium,High,Profile datasets; identify defects; map lineage; define remediation rules,43.56
1-Quick Wins,4-Foundations,Data Audit,7,Data audit and cleansing,Data Strategy,Developer Architect,30,1,190,Medium,Medium,High,Execute cleansing scripts; validate fixes; produce DQ report and remediation log,43.56
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Developer Architect,16,1,190,Medium,Small,Medum,Extract bank feeds; normalize schemas; join ledger data; build reconciliation views,14.52
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Developer Architect,8,1,190,Small,Small,High,Latency checks; quality gates; exception data capture; log pipelines,14.52
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,5,1,190,Small,Medium,Medium,Log ingestion; intent catalog build; data hooks to ticketing,7.26
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Developer Architect,4,1,190,Small,Small,High,Validate outputs; reconcile sample sets; performance tuning; publish data dictionary,14.52
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,5,1,190,Small,Medium,Medium,Capture telemetry; build dashboards; data quality checks,7.26
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,4,1,190,Small,Small,Medium,Pilot data validation; latency tuning; error logging,7.26
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,4,1,190,Small,Medium,Medium,Finalize data feeds; archive artifacts; handover scripts,7.26
1-Quick Wins,4-Foundations,Inventory,7,Inventory system selection & vendor negotiation,Operations,Finance Lead,40,1,160,Small,Medium,Medium,Shortlist vendors; evaluate fit; negotiate terms; draft contract and onboarding plan,29.04
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Finance Lead,8,1,160,Small,Small,High,Define reconciliation policy; sign‑off exception categories; control thresholds,5.81
1-Quick Wins,4-Foundations,Inventory,8,Inventory onboarding & training,Operations,Finance Lead,40,1,160,Small,Medium,Medium,Execute contract; configure system; conduct training; handover checklist complete,29.04
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Finance Lead,4,1,160,Small,Small,High,Approve workflow; audit requirements; segregation of duties; SOX alignment,5.81
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Executive needs analysis & tailored curriculum,Governance,Senior Architect,8,1,250,Small,Small,High,Interview execs; map business goals; tailor agenda and exercises to Ready Credit priorities,11.62
0-Planning and Readiness,3-Governance,PM,2,Executive checkpoint,Governance,Senior Architect,1,1,250,Small,Small,High,Decisions; scope guardrails; priority alignment,4.36
0-Planning and Readiness,3-Governance,PM,3,Executive checkpoint,Governance,Senior Architect,1,1,250,Small,Small,High,Decisions; scope guardrails; priority alignment,4.36
0-Planning and Readiness,3-Governance,Scope,3,Finalize scope priorities and decision rights,Governance,Senior Architect,12,1,250,Small,Small,High,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,17.42
0-Planning and Readiness,3-Governance,PM,4,Executive checkpoint,Governance,Senior Architect,1,1,250,Small,Medium,High,Decisions; scope guardrails; priority alignment,4.36
0-Planning and Readiness,3-Governance,Scope,4,Finalize priorities and decision rights,Governance,Senior Architect,12,1,250,Small,Medium,High,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,17.42
0-Planning and Readiness,3-Governance,PM,5,Executive checkpoint,Governance,Senior Architect,1,1,250,Small,Medium,High,Decisions; scope guardrails; priority alignment,5.81
0-Planning and Readiness,3-Governance,Scope,5,Finalize priorities and decision rights,Governance,Senior Architect,16,1,250,Small,Medium,High,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,23.23
1-Quick Wins,3-Governance,PM,6,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,3-Governance,PM,7,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,3-Governance,PM,8,Executive checkpoint,Governance,Senior Architect,4,1,250,Small,Medium,High,Decisions; guardrails; approvals,5.81
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,2,1,160,Small,Medium,Medium,CSAT metrics; compliance checks; privacy guardrails,2.9
