Epic Name,Stage Name,Workstream,Week #,Description,Category,Resource,Base Hours,Factor,Rate,Size,Complexity,Confidence,Comments,Adjusted Hours
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,AI Specialist,8.00,1.00,200.00,small,small,high,Design GenAI prompts for exception classification; define confidence thresholds,8.00
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,AI Specialist,4.00,1.00,200.00,small,small,high,Test prompt variants; fine‑tune intents; integrate human‑in‑the‑loop for edge cases,4.00
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,AI Specialist,4.00,1.00,200.00,small,small,high,Calibrate precision/recall; document model use; productionize prompt library,4.00
1-Quick Wins,4-Foundations,Data Audit,6,Data audit preparation,Data Strategy,Developer Architect,8.00,1.00,275.00,small,small,high,Develop data gathering workshop and questionnaire,8.00
1-Quick Wins,4-Foundations,Data Audit,7,Data audit catalog,Data Strategy,Developer Architect,24.00,1.00,275.00,small,medium,high,Develop initial data catalog; meeting and workshops with stakeholders; assume all data sources are known,25.20
1-Quick Wins,4-Foundations,Data Audit,8,Data audit and cleansing,Data Strategy,Developer Architect,24.00,1.00,275.00,small,medium,high,Develop data usage requirements and priorities; establish shortlist of data to audit; determine existing security controls,25.20
1-Quick Wins,4-Foundations,Data Audit,9,Data audit and cleansing,Data Strategy,Developer Architect,32.00,1.00,275.00,medium,medium,medium,Profile datasets; identify defects; map lineage; define remediation rules,38.81
1-Quick Wins,4-Foundations,Data Audit,10,Data audit and cleansing,Data Strategy,Developer Architect,32.00,1.00,275.00,medium,medium,medium,Execute cleansing scripts; validate fixes; produce DQ report and remediation log,38.81
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Developer Architect,16.00,1.00,275.00,medium,small,medium,Extract bank feeds; normalize schemas; join ledger data; build reconciliation views,18.48
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Developer Architect,8.00,1.00,275.00,small,small,high,Latency checks; quality gates; exception data capture; log pipelines,8.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,5.00,1.00,275.00,small,medium,medium,Log ingestion; intent catalog build; data hooks to ticketing,5.78
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Developer Architect,4.00,1.00,275.00,small,small,high,Validate outputs; reconcile sample sets; performance tuning; publish data dictionary,4.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,5.00,1.00,275.00,small,medium,medium,Capture telemetry; build dashboards; data quality checks,5.78
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,4.00,1.00,275.00,small,small,medium,Pilot data validation; latency tuning; error logging,4.40
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Developer Architect,4.00,1.00,275.00,small,medium,medium,Finalize data feeds; archive artifacts; handover scripts,4.62
1-Quick Wins,4-Foundations,Inventory,7,Inventory system selection & vendor selection,Operations,Senior Architect,24.00,1.00,275.00,small,small,medium,Develop detailed requirements for inventory system; assumed that commercial systems will suffice with no customer development,26.40
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Finance Lead,8.00,1.00,200.00,small,small,high,Define reconciliation policy; sign‑off exception categories; control thresholds,8.00
1-Quick Wins,4-Foundations,Inventory,8,Inventory system selection & vendor selection,Operations,Senior Architect,24.00,1.00,275.00,small,small,medium,Develop scoring criteria and evaluate short RFI; client review and approval,26.40
1-Quick Wins,4-Foundations,Inventory,9,Inventory system selection & vendor selection,Operations,Finance Lead,8.00,1.00,200.00,small,small,medium,Communicate RFI and solicit proposals (six),8.80
1-Quick Wins,4-Foundations,Inventory,10,Inventory system selection & vendor selection,Operations,Finance Lead,8.00,1.00,200.00,small,small,medium,Begin reviewing vendor proposals and demos,8.80
1-Quick Wins,4-Foundations,Inventory,11,Inventory system selection & vendor selection,Operations,Finance Lead,8.00,1.00,200.00,small,small,medium,Continue reviewing vendor proposals and demos,8.80
1-Quick Wins,4-Foundations,Inventory,12,Inventory system selection & vendor selection,Operations,Finance Lead,24.00,1.00,200.00,small,small,medium,Continue reviewing vendor proposals and demos; develop shortlist,26.40
1-Quick Wins,4-Foundations,Inventory,13,Inventory system selection & vendor negotiation,Operations,Senior Architect,24.00,1.00,275.00,small,small,medium,Prepare summary and facilitate RCC decision with SteerCo and stakeholders,26.40
1-Quick Wins,4-Foundations,Inventory,14,Inventory system selection & vendor negotiation,Operations,Senior Architect,16.00,1.00,275.00,small,small,medium,Negotiate terms; draft contract and onboarding plan; execute contract,17.60
1-Quick Wins,4-Foundations,Inventory,15,Inventory onboarding & training,Operations,Finance Lead,24.00,1.00,200.00,small,small,medium,Develop finalized onboarding plan and pilot plan (assumed no data conversion and minimal migration expected - minor Excel uploads etc.),26.40
1-Quick Wins,4-Foundations,Inventory,16,Inventory onboarding & training,Operations,Finance Lead,32.00,1.00,200.00,small,small,medium,Execute contract; configure system; conduct training; handover checklist complete,35.20
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Finance Lead,4.00,1.00,200.00,small,small,high,Approve workflow; audit requirements; segregation of duties; SOX alignment,4.00
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Executive needs analysis & tailored curriculum,Governance,Senior Architect,8.00,1.00,275.00,small,small,high,Interview execs; map business goals; tailor agenda and exercises to Ready Credit priorities,8.00
0-Planning and Readiness,3-Governance,PM,2,Executive checkpoint,Governance,Senior Architect,1.00,1.00,275.00,small,small,high,Decisions; scope guardrails; priority alignment,1.00
0-Planning and Readiness,3-Governance,PM,3,Executive checkpoint,Governance,Senior Architect,1.00,1.00,275.00,small,small,high,Decisions; scope guardrails; priority alignment,1.00
0-Planning and Readiness,3-Governance,Scope,3,Finalize scope priorities and decision rights,Governance,Senior Architect,12.00,1.00,275.00,small,small,high,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,12.00
0-Planning and Readiness,3-Governance,PM,4,Executive checkpoint,Governance,Senior Architect,1.00,1.00,275.00,small,medium,high,Decisions; scope guardrails; priority alignment,1.05
0-Planning and Readiness,3-Governance,Scope,4,Finalize priorities and decision rights,Governance,Senior Architect,12.00,1.00,275.00,small,medium,high,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,12.60
0-Planning and Readiness,3-Governance,PM,5,Executive checkpoint,Governance,Senior Architect,1.00,1.00,275.00,small,medium,high,Decisions; scope guardrails; priority alignment,1.05
0-Planning and Readiness,3-Governance,Scope,5,Finalize priorities and decision rights,Governance,Senior Architect,16.00,1.00,275.00,small,medium,high,Executive workshops; stakeholder interviews; confirm decision rights & escalation path,16.80
1-Quick Wins,3-Governance,PM,6,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,3-Governance,PM,7,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,3-Governance,PM,8,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,2.00,1.00,275.00,small,medium,medium,CSAT metrics; compliance checks; privacy guardrails,2.31
1-Quick Wins,3-Governance,PM,9,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,1.00,1.00,275.00,small,medium,medium,Review disclosures; legal text; escalation approval matrix,1.16
1-Quick Wins,3-Governance,PM,10,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,2.00,1.00,275.00,small,medium,medium,Policy tuning from pilot; exception handling thresholds,2.31
1-Quick Wins,3-Governance,PM,11,Executive checkpoint,Governance,Senior Architect,4.00,1.00,275.00,small,medium,high,Decisions; guardrails; approvals,4.20
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Senior Architect,1.00,1.00,275.00,small,small,medium,Approve training materials; rollout comms; BAU ownership,1.10
1-Quick Wins,4-Foundations,Cash Reconciliation,7,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),16.00,1.00,275.00,medium,small,high,Process discovery; map reconciliation steps; bot credential setup; exception taxonomy,16.80
1-Quick Wins,4-Foundations,Cash Reconciliation,8,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),24.00,1.00,275.00,medium,medium,medium,Build bots; unit tests; error handling; pilot on sample accounts; refine thresholds,29.11
1-Quick Wins,4-Foundations,AI Support Agent Pilot,8,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),5.00,1.00,275.00,small,medium,medium,Define handoff criteria; escalation paths; triage workflows,5.78
1-Quick Wins,4-Foundations,Cash Reconciliation,9,Automated cash reconciliation (RPA),Operations,Ops Consultant (RPA),16.00,1.00,275.00,medium,small,medium,Pilot expansion; SOP/runbook finalization; train ops; prepare rollout plan,18.48
1-Quick Wins,4-Foundations,AI Support Agent Pilot,9,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),5.00,1.00,275.00,small,medium,medium,Test escalation; refine SLAs; integrate with ops dashboards,5.78
1-Quick Wins,4-Foundations,AI Support Agent Pilot,10,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),4.00,1.00,275.00,small,small,high,Pilot runbook; incident drills; update SOPs,4.00
1-Quick Wins,4-Foundations,AI Support Agent Pilot,11,AI chatbot pilot for Tier‑1 support,AI Enablement,Ops Consultant (RPA),4.00,1.00,275.00,small,medium,high,Finalize SOPs; training; production readiness checklist,4.20
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Boot camp delivery (morning),Governance,Principal,4.00,2.00,400.00,small,small,high,Art of the possible; regulatory/ethics overview; demonstrate finance/service scenarios,8.00
0-Planning and Readiness,1-Executive AI Bootcamp,Leadership,1,Boot camp delivery (afternoon),Governance,Principal,4.00,2.00,400.00,small,small,high,Hands‑on process redesign; identify automation candidates; adoption playbooks,8.00
0-Planning and Readiness,Program Oversight,PM,1,Project Kickoff,Program Oversight,Principal,3.00,2.00,400.00,small,small,high,"Prepare, deliver and review project kickoff",6.00
1-Quick Wins,Program Oversight,Closeout,12,Epic Closeout Workshop,Governance,Principal,6.00,2.00,400.00,small,small,medium,,13.20
0-Planning and Readiness,Program Oversight,PM,0,Prelaunch Planning,Program Oversight,Program Manager,12.00,1.00,175.00,small,small,high,"Staffing, communications, develop initial documents",12.00
0-Planning and Readiness,Program Oversight,PM,1,Project Kickoff,Program Oversight,Program Manager,4.00,1.00,175.00,small,small,high,Coordinate conduct and document project kickoff,4.00
0-Planning and Readiness,Program Oversight,PM,1,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4.00,1.00,175.00,small,small,high,RAID upkeep; steering prep; unblockers; weekly status,4.00
0-Planning and Readiness,Program Oversight,Adoption,2,Change communications & orchestration,Change & Adoption,Program Manager,2.00,1.00,175.00,small,small,high,Governance comms; stakeholder onboarding; publish decisions & next steps,2.00
0-Planning and Readiness,Program Oversight,PM,2,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4.00,1.00,175.00,small,small,high,RAID upkeep; steering prep; unblockers; weekly status,4.00
0-Planning and Readiness,2-AI Usage Policy,AI Policy,3,AI Policy Review and Finalize,Governance,Program Manager,4.00,1.00,175.00,small,small,high,Review Proposed IT Policy; gather feedback and address for final policy document,4.00
0-Planning and Readiness,Program Oversight,Adoption,3,Change communications & orchestration,Change & Adoption,Program Manager,2.00,1.00,175.00,small,small,high,Governance comms; stakeholder onboarding; publish decisions & next steps,2.00
0-Planning and Readiness,Program Oversight,PM,3,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4.00,1.00,175.00,small,medium,high,RAID upkeep; steering prep; unblockers; weekly status,4.20
0-Planning and Readiness,Program Oversight,Adoption,4,Change communications & orchestration,Change & Adoption,Program Manager,2.00,1.00,175.00,small,small,high,Governance comms; stakeholder onboarding; publish decisions & next steps,2.00
0-Planning and Readiness,Program Oversight,PM,4,Weekly PMO status & risk tracking,Program Oversight,Program Manager,4.00,1.00,175.00,small,medium,high,RAID upkeep; steering prep; unblockers; weekly status,4.20
